"","trial_number","trap_number","prawn_id","stage","treatment","abdomen_turgor","abdomen_retraction","leg_movement","leg_retraction","maxilliped_movement","maxilliped_retraction","antenna","eye_turgor","pleopods","mouth","comments","Person","All_id","score"
"95",4,2,25,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 25",10
"96",4,2,26,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 26",10
"97",4,2,27,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 27",10
"98",4,2,28,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 28",10
"99",4,2,29,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 29",10
"100",4,2,30,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 30",10
"101",4,2,31,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 31",10
"102",4,2,32,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 32",10
"103",4,2,33,0,60,1,1,1,1,1,1,1,0,1,1,"","EA","4 - 2 - 33",9
"104",4,2,34,0,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 34",10
"105",4,2,35,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 35",10
"106",4,2,36,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 36",10
"107",4,2,37,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 37",10
"108",4,2,38,1,60,1,1,1,1,1,1,1,0,0,1,"","EA","4 - 2 - 38",8
"109",4,2,39,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 39",10
"110",4,2,40,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 40",10
"111",4,2,41,3,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 41",10
"112",4,2,42,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 42",10
"113",4,2,43,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 43",10
"114",4,2,44,1,90,1,1,1,1,1,1,1,1,0,1,"","EA","4 - 2 - 44",9
"115",4,2,45,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 45",10
"116",4,2,46,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 46",10
"117",4,2,47,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 47",10
"118",4,2,48,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 48",10
"119",4,3,49,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 49",10
"120",4,3,50,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 50",10
"121",4,3,51,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 51",10
"122",4,3,52,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 52",10
"123",4,3,53,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 53",10
"124",4,3,54,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 54",10
"125",4,3,55,3,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 55",10
"126",4,3,56,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 56",10
"127",4,3,57,3,30,1,0,1,1,1,1,1,1,0,1,"","EA","4 - 3 - 57",8
"128",4,3,58,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 58",10
"129",4,3,59,1,60,1,1,1,1,1,1,1,0,1,1,"","EA","4 - 3 - 59",9
"130",4,3,60,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 60",10
"131",4,3,61,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 61",10
"132",4,3,62,3,30,1,0,1,0,1,1,0,1,1,1,"","EA","4 - 3 - 62",7
"133",4,3,63,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 63",10
"134",4,3,64,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 64",10
"135",4,3,65,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 65",10
"136",4,3,66,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 66",10
"137",4,3,67,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 67",10
"138",4,3,68,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 68",10
"139",4,3,69,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 69",10
"140",4,3,70,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 3 - 70",10
"141",4,4,71,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 71",10
"142",4,4,72,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 72",10
"143",4,4,73,0,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 73",10
"144",4,4,74,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 74",10
"145",4,4,75,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 75",10
"146",4,4,76,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 76",10
"147",4,4,77,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 77",10
"148",4,4,78,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 78",10
"149",4,4,79,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 79",10
"150",4,4,80,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 80",10
"151",4,4,81,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 81",10
"152",4,4,82,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 82",10
"153",4,4,83,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 83",10
"154",4,4,84,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 84",10
"155",4,4,85,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 85",10
"156",4,4,86,2,90,1,1,1,1,1,1,1,1,0,1,"","EA","4 - 4 - 86",9
"157",4,4,87,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 87",10
"158",4,4,88,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 88",10
"159",4,4,89,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 4 - 89",10
"160",4,5,90,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 90",10
"161",4,5,91,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 91",10
"162",4,5,92,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 92",10
"163",4,5,93,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 93",10
"164",4,5,94,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 94",10
"165",4,5,95,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 95",10
"166",4,5,96,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 96",10
"167",4,5,97,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 97",10
"168",4,5,98,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 98",10
"169",4,5,99,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 99",10
"170",4,5,100,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 100",10
"171",4,5,101,3,60,1,0,1,1,1,1,1,1,0,1,"","EA","4 - 5 - 101",8
"172",4,5,102,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 102",10
"173",4,5,103,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 103",10
"174",4,5,104,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 104",10
"175",4,5,105,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 105",10
"176",4,5,106,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 106",10
"177",4,5,107,2,60,1,1,1,1,1,1,0,1,1,1,"","EA","4 - 5 - 107",9
"178",4,5,108,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 108",10
"179",4,5,109,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 109",10
"180",4,5,110,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 110",10
"181",4,5,111,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 111",10
"182",4,5,112,3,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 112",10
"183",4,5,113,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 113",10
"184",4,5,114,1,0,1,1,1,1,1,1,1,1,0,1,"","EA","4 - 5 - 114",9
"185",4,5,115,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 115",10
"186",4,5,116,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 116",10
"187",4,5,117,1,30,0,0,1,1,1,1,1,1,0,1,"","EA","4 - 5 - 117",7
"188",4,5,118,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 118",10
"189",4,5,119,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 119",10
"190",4,5,120,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 120",10
"191",4,5,121,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 121",10
"192",4,5,122,1,60,1,0,1,1,1,1,1,1,0,1,"","EA","4 - 5 - 122",8
"193",4,5,123,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 123",10
"194",4,5,124,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 5 - 124",10
"195",4,6,125,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 125",10
"196",4,6,126,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 126",10
"197",4,6,127,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 127",10
"198",4,6,128,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 128",10
"199",4,6,129,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 129",10
"200",4,6,130,3,30,1,1,0,0,0,0,1,1,1,1,"","EA","4 - 6 - 130",6
"201",4,6,131,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 131",10
"202",4,6,132,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 132",10
"203",4,6,133,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 133",10
"204",4,6,134,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 134",10
"205",4,6,135,2,30,1,1,1,1,1,1,0,1,0,1,"","EA","4 - 6 - 135",8
"206",4,6,136,1,60,1,1,1,1,1,1,1,1,0,1,"","EA","4 - 6 - 136",9
"207",4,6,137,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 137",10
"208",4,6,138,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 138",10
"209",4,6,139,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 139",10
"210",4,6,140,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 140",10
"211",4,6,141,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 141",10
"212",4,6,142,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 142",10
"213",4,6,143,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 143",10
"214",4,6,144,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 144",10
"215",4,6,145,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 145",10
"216",4,6,146,0,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 146",10
"217",4,6,147,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 6 - 147",10
"218",5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 1 - 1",10
"219",5,1,2,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 1 - 2",10
"220",5,1,3,1,60,1,0,1,1,1,1,1,1,0,1,"","EA","5 - 1 - 3",8
"221",5,1,4,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 1 - 4",10
"222",5,1,5,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 1 - 5",10
"223",5,1,6,3,30,0,0,1,1,1,1,1,1,0,1,"","EA","5 - 1 - 6",7
"224",5,1,7,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 1 - 7",10
