trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
13,2,36,1,0,1,0,1,1,1,1,1,1,1,1,
13,2,37,1,90,0,0,1,1,1,1,1,1,1,1,
13,2,38,1,60,1,1,1,1,1,1,0,1,1,1,
13,2,39,1,60,1,1,1,1,1,1,1,1,1,1,
13,2,40,1,30,1,0,1,0,1,1,0,1,1,1,
13,2,41,2,30,0,0,1,1,1,1,1,1,0,1,
13,3,42,2,0,1,1,1,1,1,1,1,1,1,1,
13,3,43,1,0,1,1,1,1,1,1,1,1,1,1,
13,3,44,1,30,1,1,1,1,1,1,1,1,1,1,
13,3,45,1,0,1,1,1,1,1,1,1,1,1,1,
13,3,46,2,30,1,1,1,1,1,1,1,1,1,1,
13,3,47,2,30,1,1,1,1,1,1,1,1,1,1,
13,3,48,1,0,1,1,1,1,1,1,1,1,1,1,
13,3,49,2,0,1,1,1,1,1,1,1,1,1,1,
13,3,50,2,0,1,1,1,1,1,1,1,1,1,1,
13,3,51,3,0,1,1,1,1,1,1,1,1,1,1,
13,3,52,1,0,1,1,1,1,1,1,1,1,1,1,
13,3,53,1,0,1,1,1,1,1,1,1,1,1,1,
13,3,54,3,60,0,0,0,0,0,0,0,1,0,0,
13,3,55,1,90,1,1,1,1,1,1,1,1,1,1,
13,3,56,1,30,1,1,1,1,1,1,1,1,1,1,
13,3,57,1,0,1,1,1,1,1,1,0,1,1,1,
13,3,58,1,60,0,0,1,1,1,1,0,1,0,1,
13,4,59,1,60,1,1,1,1,1,1,1,1,1,1,
13,4,60,1,90,0,0,1,0,1,1,0,1,0,1,
13,4,61,1,60,1,1,1,1,1,1,1,1,1,1,
13,4,62,1,0,1,1,1,1,1,1,1,1,1,1,
13,4,63,1,0,1,1,1,1,1,1,1,1,1,1,
13,4,64,2,0,1,1,1,1,1,1,1,1,1,1,
13,4,65,2,60,1,1,1,1,1,1,1,1,1,1,
13,4,66,1,90,0,0,1,1,1,1,1,1,0,1,
13,4,67,1,0,1,1,1,1,1,1,1,1,1,1,
13,4,68,1,30,1,1,1,1,1,1,1,1,1,1,
13,4,69,3,0,0,0,1,1,1,1,1,1,0,1,
13,4,70,1,90,1,0,1,0,1,0,0,1,0,0,
13,4,71,1,0,0,0,0,0,0,0,0,1,0,0,
13,4,72,1,60,0,0,0,0,0,0,0,1,0,0,
13,4,73,1,0,1,1,1,1,1,1,1,1,0,1,
13,4,74,3,60,0,0,0,0,0,0,0,1,0,0,
13,4,75,1,60,1,1,1,1,1,1,1,1,1,1,
13,4,76,2,0,1,1,1,1,1,1,1,1,1,1,
13,4,77,1,0,1,1,1,1,1,1,1,1,1,1,
13,4,78,1,30,1,1,1,1,1,1,0,1,1,1,
13,5,79,3,60,1,1,1,1,1,1,1,1,1,1,
13,5,80,1,30,0,0,1,1,1,1,1,1,0,1,
13,5,81,1,0,1,1,1,1,1,1,1,1,1,1,
13,5,82,1,30,0,0,0,0,0,0,0,1,0,0,
13,5,83,1,0,0,0,1,1,1,1,1,1,0,1,
13,5,84,1,60,1,1,1,1,1,1,1,1,1,1,
13,5,85,1,30,1,1,1,1,1,1,1,1,0,1,
13,5,86,1,0,1,1,1,1,1,1,1,1,0,1,
13,5,87,3,30,1,1,1,1,1,1,1,1,1,1,
13,5,88,1,0,1,1,1,1,1,1,1,1,1,1,
13,5,89,1,30,0,0,0,0,0,0,0,1,0,0,
13,5,90,1,0,1,1,1,1,1,1,1,1,1,1,
13,5,91,1,60,1,1,1,1,1,1,1,1,1,1,
13,5,92,1,60,1,1,1,1,1,1,1,1,1,1,
13,5,93,2,0,1,1,1,1,1,1,1,1,0,1,
13,5,94,1,0,0,0,0,0,0,0,0,1,0,0,
13,5,95,1,60,0,0,1,1,1,1,1,1,0,1,
13,6,96,1,0,1,1,1,1,1,1,1,1,1,1,
13,6,97,1,60,1,1,1,1,1,1,1,1,1,1,
13,6,98,1,0,1,1,1,1,1,1,1,1,1,1,
13,6,99,3,0,0,0,1,1,1,1,1,1,0,1,
13,6,100,1,60,1,1,1,1,1,1,1,1,1,1,
13,6,101,3,60,1,1,1,1,1,1,1,1,1,1,
13,6,102,1,0,1,1,1,1,1,1,1,1,1,1,
13,6,103,2,30,0,0,0,0,0,0,0,1,0,0,
13,6,104,1,0,0,0,1,1,1,1,0,1,0,1,
13,6,105,2,30,0,0,1,0,1,0,0,1,0,1,
13,6,106,1,60,0,0,1,0,1,1,0,1,0,1,
13,6,107,1,60,1,1,1,1,1,1,1,1,1,1,
13,6,108,1,30,0,0,0,0,0,0,0,1,0,1,
13,6,109,1,30,0,0,1,0,1,1,1,1,0,1,
13,6,110,1,30,0,0,1,0,1,1,1,1,0,1,
13,6,111,2,30,1,1,1,1,1,1,1,1,1,1,
15,1,1,1,30,1,1,1,1,1,1,1,1,1,1,
15,1,2,3,30,1,1,1,1,1,1,1,1,1,1,
15,1,3,2,30,1,1,1,1,1,1,1,1,1,1,
15,1,4,2,0,1,1,1,1,1,1,1,1,1,1,
