trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
7,5,87,1,0,1,0,1,1,1,1,0,1,1,1,
7,6,88,2,0,1,1,1,1,1,1,1,1,1,1,
7,6,89,1,30,1,1,1,1,1,1,1,1,1,1,
7,6,90,3,30,1,1,1,1,1,1,1,1,1,1,
7,6,91,3,0,1,1,1,1,1,1,1,1,1,1,
7,6,92,1,90,1,1,1,1,1,1,0,1,1,1,
7,6,93,3,120,1,1,1,1,1,1,1,1,1,1,
7,6,94,1,30,1,1,1,1,1,1,1,1,1,1,
7,6,95,3,0,1,1,1,1,1,1,1,1,1,1,
7,6,96,1,90,1,1,1,1,1,1,1,1,1,1,
7,6,97,2,30,1,1,1,1,1,1,1,1,1,1,
7,6,98,1,30,1,1,1,1,1,1,1,1,1,1,
7,6,99,3,90,1,0,1,1,1,1,1,1,0,1,
7,6,100,3,30,1,1,1,1,1,1,1,1,1,1,
7,6,101,2,0,1,1,1,1,1,1,1,1,1,1,
7,6,102,1,120,1,1,1,1,1,1,1,1,1,1,
7,6,103,1,90,1,1,1,1,1,1,1,1,1,1,
7,6,104,3,0,1,1,1,1,1,1,1,1,1,1,
7,6,105,1,30,1,1,1,1,1,1,1,1,1,1,
3,1,1,1,60,1,1,1,1,1,1,1,1,1,1,
3,1,2,1,30,1,1,1,1,1,1,1,1,1,1,
3,1,3,2,90,1,1,1,1,1,1,1,1,1,1,
3,1,4,1,30,1,1,1,1,1,1,1,1,1,1,
3,1,5,1,60,1,1,1,1,1,1,1,1,1,1,
3,1,6,1,60,1,1,1,1,1,1,1,1,1,1,
3,1,7,2,30,1,0,1,1,1,1,1,1,1,1,
3,1,8,1,30,1,1,1,1,1,1,1,1,1,1,
3,1,9,1,30,1,0,1,1,1,1,0,1,1,1,
3,1,10,1,90,1,1,1,1,1,1,1,1,1,1,
3,1,11,1,60,1,1,1,1,1,1,1,1,1,1,
3,1,12,1,30,1,1,1,1,1,1,1,1,1,1,
3,1,13,1,60,1,1,1,1,1,1,1,1,1,1,
3,1,14,2,0,1,1,1,1,1,1,1,1,1,1,
3,1,15,2,60,1,1,1,1,1,1,1,1,1,1,
3,1,16,1,0,1,0,1,1,1,1,1,1,1,1,
3,1,17,2,30,1,1,1,1,1,1,1,1,1,1,
3,1,18,2,90,1,1,1,1,1,1,1,1,1,1,
3,1,19,2,30,1,1,1,1,1,1,1,1,1,1,
3,1,20,1,30,1,1,1,1,1,1,1,1,1,1,
3,1,21,1,0,1,1,1,1,1,1,1,1,1,1,
3,1,22,1,60,1,1,1,1,1,1,1,1,1,1,
3,1,23,2,0,1,1,1,1,1,1,1,1,1,1,
3,2,24,3,60,1,1,1,1,1,1,1,1,1,1,
3,2,25,1,90,1,1,1,1,1,1,1,1,1,1,
3,2,26,1,30,1,1,1,1,1,1,1,1,1,1,
3,2,27,1,30,1,1,1,1,1,1,1,1,1,1,
3,2,28,1,30,1,1,1,1,1,1,1,1,1,1,
3,2,29,1,0,1,1,1,1,1,1,1,1,1,1,
3,2,30,1,60,1,1,1,1,1,1,1,1,1,1,
3,2,31,1,60,1,1,1,1,1,1,1,1,1,1,
3,2,32,1,30,1,1,1,1,1,1,1,1,1,1,
3,2,33,1,90,1,1,1,1,1,1,1,1,1,1,
3,2,34,2,0,1,1,1,1,1,1,1,1,1,1,
3,2,35,1,30,1,0,1,0,1,0,1,1,0,1,
3,2,36,1,90,1,1,1,1,1,1,1,1,1,1,
3,2,37,1,30,1,1,1,1,1,1,1,1,1,1,
3,2,38,1,30,1,1,1,1,1,1,1,1,1,1,
3,2,39,2,90,1,1,1,1,1,1,1,1,1,1,
3,2,40,3,30,1,1,1,1,1,1,1,1,1,1,
3,2,41,1,90,1,1,1,1,1,1,1,1,1,1,
3,2,42,2,30,1,1,1,1,1,1,1,1,1,1,
