trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
16,2,23,3,0,1,1,1,1,1,1,1,1,0,1,
16,2,24,1,120,0,0,1,0,1,0,1,1,0,1,
16,2,25,1,120,1,1,1,1,1,1,1,1,1,1,
16,2,26,1,0,1,1,1,1,1,1,1,1,0,1,
16,2,27,1,0,0,0,1,1,1,1,1,1,1,1,
16,2,28,2,30,1,1,1,1,1,1,1,1,1,1,
16,2,29,3,60,1,1,1,1,1,1,1,1,1,1,
16,2,30,3,60,1,1,1,1,1,1,1,1,1,1,
16,2,31,2,0,1,1,1,1,1,1,1,1,1,1,
16,2,32,3,60,1,1,1,1,1,1,1,1,1,1,
16,2,33,2,0,0,0,0,0,0,0,0,1,0,0,
16,2,34,2,30,1,1,1,1,1,1,1,1,1,1,
16,2,35,3,60,1,1,1,1,1,1,1,1,1,1,
16,2,36,3,60,1,1,1,1,1,1,1,1,1,1,
16,2,37,2,0,1,1,1,1,1,1,1,1,1,1,
16,2,38,3,60,1,1,1,1,1,1,1,1,1,1,
16,2,39,2,0,0,0,0,0,0,0,0,1,0,0,
16,2,40,2,30,1,1,1,1,1,1,1,1,1,1,
16,2,41,2,30,1,1,1,1,1,1,1,1,1,1,
16,2,42,1,0,0,0,0,0,0,0,0,1,0,0,
16,2,43,1,0,0,0,1,1,1,1,1,1,0,1,
16,2,44,2,30,1,1,1,1,1,1,1,1,1,1,
16,2,45,1,0,1,1,1,1,1,1,1,1,1,1,
16,2,46,1,90,1,1,1,1,1,1,1,1,1,1,
16,3,47,3,0,1,1,1,1,1,1,1,1,1,1,
16,3,48,3,60,1,1,1,1,1,1,1,1,1,1,
16,3,49,2,60,1,1,1,1,1,1,1,1,1,1,
16,3,50,2,30,1,1,1,1,1,1,1,1,1,1,
16,3,51,1,90,0,1,1,0,1,1,1,1,0,1,
16,3,52,3,60,1,1,1,1,1,1,1,1,1,1,
16,3,53,1,90,1,1,1,1,1,1,1,1,1,1,
16,3,54,2,30,1,1,1,1,1,1,1,1,1,1,
16,3,55,3,30,1,1,1,1,1,1,1,1,1,1,
16,3,56,3,90,1,1,1,1,1,1,1,1,1,1,
16,3,57,1,120,1,1,1,1,1,1,1,1,1,1,
16,3,58,2,30,1,1,1,1,1,1,1,1,1,1,
16,3,59,2,120,0,0,0,0,0,0,0,1,0,0,
16,3,60,1,120,0,0,0,0,0,0,0,1,0,0,
16,3,61,1,90,1,1,1,0,1,0,1,1,0,0,
16,3,62,1,0,1,1,1,1,1,1,0,1,1,1,
16,3,63,3,0,0,0,0,0,0,0,0,1,0,0,
16,3,64,3,0,0,0,1,1,1,1,1,1,0,1,
16,3,65,1,120,0,0,0,0,0,0,0,0,0,0,
16,3,66,3,0,1,0,1,0,1,1,1,1,1,1,
16,4,67,2,0,1,1,1,1,1,1,1,1,1,1,
16,4,68,3,0,1,1,1,1,1,1,1,1,1,1,
16,4,69,2,60,1,1,1,1,1,1,1,1,1,1,
16,4,70,1,60,1,1,1,1,1,1,1,1,1,1,
16,4,71,2,120,0,0,0,0,0,0,1,1,0,1,
16,4,72,2,120,1,1,1,1,1,1,1,1,1,1,
16,4,73,2,0,1,1,1,1,1,1,1,1,1,1,
16,4,74,1,90,0,0,1,0,1,0,1,1,0,1,
16,4,75,2,0,1,1,1,1,1,1,1,1,1,1,
16,4,76,1,30,1,1,1,1,1,1,1,1,1,1,
16,4,77,2,60,0,0,1,1,1,1,1,1,0,1,
16,4,78,3,30,1,1,1,1,1,1,1,1,1,1,
16,4,79,1,90,0,0,1,1,1,1,0,1,0,1,
16,4,80,1,0,1,1,1,1,1,1,1,1,1,1,
16,4,81,3,30,1,1,1,1,1,1,1,1,1,1,
16,4,82,1,30,1,1,1,1,1,1,1,1,1,1,
16,4,83,3,30,1,1,1,1,1,1,1,1,0,1,
16,4,84,2,120,1,1,1,1,1,1,1,1,1,1,
16,4,85,1,30,1,1,1,1,1,1,1,1,1,1,
16,4,86,2,30,1,1,1,1,1,1,1,1,1,1,
16,5,87,1,30,1,1,1,1,1,1,1,1,1,1,
16,5,88,2,60,1,1,1,1,1,1,1,1,1,1,
16,5,89,2,0,1,1,1,1,1,1,1,1,1,1,
16,5,90,1,0,1,1,1,1,1,1,1,1,1,1,
16,5,91,3,60,1,1,1,1,1,1,1,1,1,1,
16,5,92,2,60,1,1,1,1,1,1,1,1,1,1,
16,5,93,1,30,1,1,1,1,1,1,1,1,1,1,
16,5,94,2,30,0,0,1,1,1,1,1,1,1,1,
16,5,95,1,30,1,1,1,1,1,1,1,1,1,1,
16,5,96,1,90,0,0,0,0,0,0,0,1,0,0,
16,5,97,1,0,1,1,1,1,1,1,1,1,1,1,
16,5,98,1,0,0,0,1,0,1,1,1,1,0,1,
16,5,99,1,0,1,1,1,1,1,1,1,1,1,1,
16,5,100,3,0,1,1,1,1,1,1,1,1,1,1,
16,5,101,3,30,1,1,1,1,1,1,1,1,1,1,
16,5,102,2,90,1,1,1,1,1,1,0,1,0,1,
16,5,103,2,30,1,1,1,1,1,1,1,1,1,1,
16,5,104,1,60,1,1,1,1,1,1,1,1,1,1,
16,5,105,3,0,1,1,1,1,1,1,1,1,1,1,
16,5,106,1,60,1,1,1,1,1,1,1,1,1,1,
16,6,107,1,120,0,0,1,1,1,1,1,1,0,1,
16,6,108,2,30,1,1,1,1,1,1,1,1,0,1,
16,6,109,2,0,1,1,1,1,1,1,1,1,0,1,
16,6,110,2,0,1,1,1,1,1,1,1,1,1,1,
16,6,111,3,30,1,1,1,1,1,1,1,1,1,1,
16,6,112,2,120,1,1,1,1,1,1,1,1,1,1,
16,6,113,1,60,1,1,1,1,1,1,1,1,1,1,
16,6,114,2,30,1,1,1,1,1,1,1,1,1,1,
16,6,115,1,120,1,1,1,1,1,1,1,1,1,1,
16,6,116,2,30,1,1,1,1,1,1,1,1,1,1,
16,6,117,2,0,1,1,1,1,1,1,1,1,1,1,
16,6,118,3,60,1,1,1,1,1,1,1,1,1,1,
16,6,119,2,60,0,0,0,0,0,0,0,1,0,0,
16,6,120,2,30,0,0,1,1,1,1,1,1,0,1,
16,6,121,1,0,0,0,1,1,1,1,1,1,0,1,
16,6,122,1,30,0,0,1,1,1,1,1,1,0,1,
16,6,123,1,0,0,0,0,0,0,0,0,1,0,1,
16,6,124,3,0,1,1,1,1,1,1,1,1,1,1,
16,6,125,1,0,1,1,1,1,1,1,1,1,1,1,
16,6,126,1,0,1,1,1,1,1,1,1,1,1,1,
